Compose([
  RemoveDuplicatedEdges(),
  RemoveIsolatedNodes(),
  GCNNorm(add_self_loops=True)
])
(2480, 1390)
# Run(108):
	cv_params={'layer': [2], 'hidden': [32, 48, 64], 'net': [<class 'models.GCNConv'>], 'lr': [0.1], 'epoch': [1500]},
	lr_decay=0.5,
	decay_steps=50,
	weight_decay=0.0005,
	n_folds=5,

# Evaluating model(0): {'epoch': 1500, 'hidden': 32, 'layer': 2, 'lr': 0.1, 'net': <class 'models.GCNConv'>}
{'fold': 2, 'epoch': 900, 'train_loss': 0.010678992606699467, 'val_loss': 2.018831253051758, 'test_acc': 0.8383838534355164}
{'fold': 2, 'epoch': 950, 'train_loss': 0.023954739794135094, 'val_loss': 2.018827438354492, 'test_acc': 0.8383838534355164}
{'fold': 2, 'epoch': 1000, 'train_loss': 0.016175908967852592, 'val_loss': 2.0188205242156982, 'test_acc': 0.8383838534355164}
{'fold': 2, 'epoch': 1050, 'train_loss': 0.025949392467737198, 'val_loss': 2.0188210010528564, 'test_acc': 0.8383838534355164}
{'fold': 2, 'epoch': 1100, 'train_loss': 0.019207628443837166, 'val_loss': 2.0188190937042236, 'test_acc': 0.8383838534355164}
{'fold': 2, 'epoch': 1150, 'train_loss': 0.038464102894067764, 'val_loss': 2.0188190937042236, 'test_acc': 0.8383838534355164}
{'fold': 2, 'epoch': 1200, 'train_loss': 0.011098276823759079, 'val_loss': 2.0188190937042236, 'test_acc': 0.8383838534355164}
{'fold': 2, 'epoch': 1250, 'train_loss': 0.019860535860061646, 'val_loss': 2.0188190937042236, 'test_acc': 0.8383838534355164}
{'fold': 2, 'epoch': 1300, 'train_loss': 0.02360905334353447, 'val_loss': 2.0188193321228027, 'test_acc': 0.8383838534355164}
{'fold': 2, 'epoch': 1350, 'train_loss': 0.02912209928035736, 'val_loss': 2.0188193321228027, 'test_acc': 0.8383838534355164}
{'fold': 2, 'epoch': 1400, 'train_loss': 0.031069885939359665, 'val_loss': 2.0188193321228027, 'test_acc': 0.8383838534355164}
{'fold': 2, 'epoch': 1450, 'train_loss': 0.023872239515185356, 'val_loss': 2.0188193321228027, 'test_acc': 0.8383838534355164}
{'fold': 2, 'epoch': 1500, 'train_loss': 0.02396293543279171, 'val_loss': 2.0188193321228027, 'test_acc': 0.8383838534355164}
{'fold': 3, 'epoch': 50, 'train_loss': 0.09944155067205429, 'val_loss': 2.1501567363739014, 'test_acc': 0.7878788113594055}
{'fold': 3, 'epoch': 100, 'train_loss': 0.06543651223182678, 'val_loss': 2.032052993774414, 'test_acc': 0.7777777910232544}
{'fold': 3, 'epoch': 150, 'train_loss': 0.05992712825536728, 'val_loss': 1.86083984375, 'test_acc': 0.7979797720909119}
{'fold': 3, 'epoch': 200, 'train_loss': 0.06470723450183868, 'val_loss': 1.9070123434066772, 'test_acc': 0.808080792427063}
{'fold': 3, 'epoch': 250, 'train_loss': 0.04844954237341881, 'val_loss': 1.9189804792404175, 'test_acc': 0.808080792427063}
{'fold': 3, 'epoch': 300, 'train_loss': 0.055162761360406876, 'val_loss': 1.9136333465576172, 'test_acc': 0.7979797720909119}
{'fold': 3, 'epoch': 350, 'train_loss': 0.05167995020747185, 'val_loss': 1.7922935485839844, 'test_acc': 0.808080792427063}
{'fold': 3, 'epoch': 400, 'train_loss': 0.03684108331799507, 'val_loss': 1.8106738328933716, 'test_acc': 0.808080792427063}
{'fold': 3, 'epoch': 450, 'train_loss': 0.054126933217048645, 'val_loss': 1.8037657737731934, 'test_acc': 0.8181818127632141}
